"publishedAtDate","publishAt","stars"
"2025-05-11T12:46:38.751Z","Hace 6 días","5"
"2025-05-11T03:11:56.662Z","Hace 6 días","5"
"2025-05-10T02:57:29.878Z","una semana atrás","5"
"2025-05-01T13:55:36.311Z","2 semanas atrás","5"
"2025-04-26T23:07:14.954Z","2 semanas atrás","5"
"2025-04-12T18:40:34.230Z","Hace un mes","5"
"2025-04-11T03:25:09.968Z","Hace un mes","5"
"2025-04-09T18:30:52.495Z","Hace un mes","5"
"2025-04-06T18:39:48.767Z","Hace un mes","5"
"2025-04-03T21:07:22.523Z","Hace un mes","5"
"2025-04-01T20:41:38.408Z","Hace un mes","5"
"2025-03-31T12:37:52.762Z","Hace un mes","4"
"2025-03-30T15:47:59.259Z","Hace un mes","4"
"2025-03-25T01:07:49.454Z","Hace un mes","4"
"2025-03-17T22:11:18.325Z","Hace un mes","5"
"2025-03-17T02:57:13.144Z","Hace 2 meses","5"
"2025-03-11T12:03:11.209Z","Hace 2 meses","5"
"2025-03-11T00:33:23.847Z","Hace 2 meses","5"
"2025-02-28T23:16:18.463Z","Hace 2 meses","5"
"2025-02-26T21:14:53.522Z","Hace 2 meses","5"
"2025-02-22T21:42:17.352Z","Hace 2 meses","5"
"2025-02-22T20:33:08.873Z","Hace 2 meses","5"
"2025-02-22T15:43:25.397Z","Hace 2 meses","4"
"2025-02-19T17:30:37.276Z","Hace 2 meses","4"
"2025-02-17T17:44:06.244Z","Hace 3 meses","5"
"2025-02-12T15:33:22.651Z","Hace 3 meses","4"
"2025-02-11T23:45:19.703Z","Hace 3 meses","5"
"2025-02-10T17:48:51.545Z","Hace 3 meses","5"
"2025-02-09T22:15:39.970Z","Hace 3 meses","5"
"2025-02-09T00:30:21.968Z","Hace 3 meses","5"
"2025-02-06T19:11:42.968Z","Hace 3 meses","3"
"2025-02-05T17:20:16.631Z","Hace 3 meses","4"
"2025-02-03T04:05:22.031Z","Hace 3 meses","5"
"2025-02-02T22:49:05.561Z","Hace 3 meses","1"
"2025-02-02T20:45:50.558Z","Hace 3 meses","5"
"2025-02-02T02:02:39.318Z","Hace 3 meses","4"
"2025-01-30T14:17:03.628Z","Hace 3 meses","5"
"2025-01-28T19:31:48.540Z","Hace 3 meses","5"
"2025-01-26T12:36:04.752Z","Hace 3 meses","2"
"2025-01-25T11:13:23.144Z","Hace 3 meses","5"
"2025-01-19T01:18:10.199Z","Hace 3 meses","5"
"2025-01-19T01:17:23.159Z","Hace 3 meses","5"
"2025-01-18T16:43:49.080Z","Hace 3 meses","5"
"2025-01-18T14:24:57.423Z","Hace 3 meses","4"
"2025-01-16T23:46:47.840Z","Hace 4 meses","5"
"2025-01-16T18:53:01.296Z","Hace 4 meses","4"
"2025-01-15T13:34:47.639Z","Hace 4 meses","4"
"2025-01-14T22:04:49.251Z","Hace 4 meses","3"
"2025-01-14T20:20:06.845Z","Hace 4 meses","5"
"2025-01-14T17:14:06.954Z","Hace 4 meses","5"
"2025-01-14T12:09:49.697Z","Hace 4 meses","4"
"2025-01-11T23:54:58.540Z","Hace 4 meses","5"
"2025-01-07T13:49:37.342Z","Hace 4 meses","5"
"2025-01-03T04:07:00.494Z","Hace 4 meses","5"
"2025-01-01T03:25:52.583Z","Hace 4 meses","4"
"2024-12-30T17:57:22.625Z","Hace 4 meses","5"
"2024-12-29T22:39:57.561Z","Hace 4 meses","3"
"2024-12-29T11:19:36.042Z","Hace 4 meses","5"
"2024-12-29T04:37:08.862Z","Hace 4 meses","5"
"2024-12-29T00:45:45.063Z","Hace 4 meses","5"
"2024-12-28T21:53:40.998Z","Hace 4 meses","5"
"2024-12-19T11:05:41.940Z","Hace 4 meses","5"
"2024-12-19T00:51:55.605Z","Hace 4 meses","5"
"2024-12-17T02:27:39.915Z","Hace 5 meses","5"
"2024-12-15T13:03:23.963Z","Hace 5 meses","5"
"2024-12-14T04:15:02.079Z","Hace 5 meses","1"
"2024-12-13T03:30:20.596Z","Hace 5 meses","5"
"2024-12-11T16:57:44.903Z","Hace 5 meses","5"
"2024-12-11T16:29:32.166Z","Hace 5 meses","4"
"2024-12-11T16:02:52.753Z","Hace 5 meses","5"
"2024-12-08T19:13:43.722Z","Hace 5 meses","2"
"2024-12-08T12:16:42.349Z","Hace 5 meses","5"
"2024-12-07T11:03:11.496Z","Hace 5 meses","5"
"2024-12-07T07:08:39.086Z","Hace 5 meses","5"
"2024-12-05T14:21:24.877Z","Hace 5 meses","5"
"2024-12-02T18:04:08.843Z","Hace 5 meses","4"
"2024-12-02T16:35:29.823Z","Hace 5 meses","4"
"2024-12-01T05:10:25.761Z","Hace 5 meses","5"
"2024-11-29T01:52:41.252Z","Hace 5 meses","5"
"2024-11-23T12:14:33.193Z","Hace 5 meses","5"
"2024-11-20T12:00:59.893Z","Hace 5 meses","5"
"2024-11-12T05:41:16.845Z","Hace 6 meses","5"
"2024-11-09T23:32:10.122Z","Hace 6 meses","5"
"2024-10-29T02:03:15.914Z","Hace 6 meses","4"
"2024-10-27T00:56:50.588Z","Hace 6 meses","1"
"2024-10-27T00:46:23.530Z","Hace 6 meses","5"
"2024-10-24T18:25:19.384Z","Hace 6 meses","4"
