"publishedAtDate","publishAt","stars"
"2025-05-07T16:31:55.555Z","Hace 6 horas","5"
"2025-05-07T01:06:50.419Z","Hace 22 horas","5"
"2025-05-06T14:17:48.291Z","Hace 1 día","5"
"2025-05-05T12:16:13.099Z","Hace 2 días","5"
"2025-05-05T08:06:35.853Z","Hace 2 días","5"
"2025-05-04T02:12:08.712Z","Hace 3 días","1"
"2025-05-03T21:49:32.945Z","Hace 4 días","4"
"2025-05-03T18:21:40.259Z","Hace 4 días","4"
"2025-05-03T17:09:54.023Z","Hace 4 días","4"
"2025-05-03T16:13:05.945Z","Hace 4 días","5"
"2025-05-01T23:53:36.659Z","Hace 5 días","5"
"2025-04-18T14:30:00.000Z","Hace 3 horas","5"
"2025-04-18T14:30:00.000Z","Hace 3 horas","5"
"2025-04-18T14:30:00.000Z","Hace 3 horas","5"
"2025-05-01T20:30:08.157Z","Hace 6 días","4"
"2025-04-30T13:41:01.085Z","una semana atrás","5"
"2025-04-29T17:41:52.810Z","una semana atrás","5"
"2025-04-29T04:37:14.876Z","una semana atrás","4"
"2025-04-28T22:30:22.283Z","una semana atrás","5"
"2025-04-28T17:09:04.162Z","una semana atrás","5"
"2025-04-28T12:20:11.884Z","una semana atrás","5"
"2025-04-26T20:12:42.599Z","una semana atrás","5"
"2025-04-23T00:35:34.604Z","2 semanas atrás","4"
"2025-04-22T15:01:18.938Z","2 semanas atrás","5"
"2025-04-22T14:53:23.675Z","2 semanas atrás","5"
"2025-04-22T03:49:40.324Z","2 semanas atrás","5"
"2025-04-21T20:50:12.464Z","2 semanas atrás","4"
"2025-04-21T02:56:28.617Z","2 semanas atrás","5"
"2025-04-21T01:26:10.717Z","2 semanas atrás","5"
"2025-04-20T19:51:31.222Z","2 semanas atrás","5"
"2025-04-20T17:49:46.129Z","2 semanas atrás","5"
"2025-04-20T12:57:54.897Z","2 semanas atrás","5"
"2025-04-20T11:14:41.531Z","2 semanas atrás","5"
"2025-04-20T00:13:28.092Z","2 semanas atrás","5"
"2025-04-19T06:55:55.851Z","2 semanas atrás","5"
"2025-04-18T20:40:54.690Z","2 semanas atrás","5"
"2025-04-18T16:24:51.697Z","2 semanas atrás","1"
"2025-04-18T10:37:40.483Z","2 semanas atrás","5"
"2025-04-18T00:03:12.782Z","2 semanas atrás","4"
"2025-04-17T22:53:46.193Z","2 semanas atrás","5"
"2025-04-17T11:01:14.977Z","2 semanas atrás","5"
"2025-04-16T20:19:41.206Z","3 semanas atrás","4"
"2025-04-16T17:28:34.252Z","3 semanas atrás","1"
"2025-04-16T16:56:59.396Z","3 semanas atrás","4"
"2025-04-16T13:57:12.628Z","3 semanas atrás","5"
"2025-04-15T15:16:02.516Z","3 semanas atrás","5"
"2025-04-15T14:21:09.290Z","3 semanas atrás","4"
"2025-04-14T17:45:42.447Z","3 semanas atrás","4"
"2025-04-14T16:50:34.948Z","3 semanas atrás","5"
"2025-04-13T22:11:15.416Z","3 semanas atrás","5"
"2025-04-13T17:53:40.694Z","3 semanas atrás","5"
"2025-04-13T15:36:24.312Z","3 semanas atrás","5"
"2025-04-12T22:18:39.134Z","3 semanas atrás","5"
"2025-04-12T15:08:40.941Z","3 semanas atrás","4"
"2025-04-12T11:09:24.714Z","3 semanas atrás","5"
"2025-04-12T10:48:12.937Z","3 semanas atrás","5"
"2025-04-12T00:15:32.033Z","3 semanas atrás","5"
"2025-04-10T23:45:59.510Z","3 semanas atrás","5"
"2025-04-10T22:04:45.687Z","3 semanas atrás","5"
"2025-04-10T09:58:45.936Z","3 semanas atrás","5"
"2025-04-10T01:15:32.207Z","3 semanas atrás","5"
"2025-04-09T20:30:08.406Z","4 semanas atrás","4"
"2025-04-09T18:29:35.099Z","4 semanas atrás","5"
"2025-04-08T21:11:31.986Z","4 semanas atrás","5"
"2025-04-08T20:02:47.388Z","4 semanas atrás","5"
"2025-04-08T14:27:41.289Z","4 semanas atrás","4"
"2025-04-07T02:51:18.850Z","Hace un mes","5"
"2025-04-06T23:29:06.382Z","Hace un mes","5"
"2025-04-06T22:31:17.595Z","Hace un mes","5"
"2025-04-06T14:28:18.655Z","Hace un mes","5"
"2025-04-06T04:42:08.833Z","Hace un mes","5"
"2025-04-05T04:18:20.664Z","Hace un mes","4"
"2025-04-03T11:55:05.677Z","Hace un mes","4"
"2025-04-02T22:24:40.479Z","Hace un mes","4"
"2025-04-02T05:45:20.494Z","Hace un mes","5"
"2025-04-01T03:25:21.521Z","Hace un mes","5"
"2025-03-31T21:05:58.588Z","Hace un mes","5"
"2025-03-31T02:39:30.949Z","Hace un mes","5"
"2025-03-31T00:53:53.165Z","Hace un mes","5"
"2025-03-31T00:20:02.751Z","Hace un mes","5"
"2025-03-30T16:04:22.670Z","Hace un mes","5"
"2025-03-29T23:47:18.093Z","Hace un mes","4"
"2025-03-29T22:55:09.860Z","Hace un mes","5"
"2025-03-29T16:09:00.559Z","Hace un mes","4"
"2025-03-28T17:06:14.565Z","Hace un mes","5"
"2025-03-27T22:01:52.560Z","Hace un mes","5"
"2025-03-26T17:12:21.681Z","Hace un mes","5"
"2025-03-26T01:02:07.069Z","Hace un mes","4"
"2025-03-25T00:46:52.257Z","Hace un mes","5"
"2025-03-24T20:36:48.050Z","Hace un mes","5"
"2025-03-24T15:53:05.998Z","Hace un mes","5"
"2025-03-23T21:50:57.346Z","Hace un mes","5"
"2025-03-23T17:53:15.559Z","Hace un mes","5"
"2025-03-23T13:58:27.276Z","Hace un mes","4"
"2025-03-23T00:35:43.889Z","Hace un mes","5"
"2025-03-22T02:01:53.779Z","Hace un mes","4"
"2025-03-22T00:25:10.354Z","Hace un mes","5"
"2025-03-20T10:50:23.005Z","Hace un mes","5"
"2025-03-20T03:11:41.037Z","Hace un mes","5"
"2025-03-20T00:12:22.959Z","Hace un mes","5"
"2025-03-19T23:14:20.329Z","Hace un mes","4"
"2025-03-19T22:16:09.093Z","Hace un mes","5"
"2025-03-19T19:27:06.933Z","Hace un mes","5"
"2025-05-11T00:00:00.000000Z","registro click"
