"publishedAtDate","publishAt","stars"
"2025-05-15T22:42:00.345Z","Hace 1 día","5"
"2025-05-14T17:27:12.277Z","Hace 3 días","5"
"2025-05-14T07:07:11.656Z","Hace 3 días","4"
"2025-05-13T21:46:17.324Z","Hace 3 días","5"
"2025-05-12T18:51:53.200Z","Hace 5 días","5"
"2025-05-12T18:51:15.808Z","Hace 5 días","4"
"2025-05-12T10:35:57.573Z","Hace 5 días","4"
"2025-05-11T22:31:18.135Z","Hace 5 días","5"
"2025-05-11T18:41:06.789Z","Hace 6 días","4"
"2025-05-11T02:24:29.224Z","Hace 6 días","5"
"2025-05-05T04:54:19.259Z","una semana atrás","5"
"2025-05-04T23:05:53.802Z","una semana atrás","5"
"2025-05-04T22:04:02.747Z","una semana atrás","5"
"2025-05-04T20:37:38.467Z","una semana atrás","4"
"2025-05-02T03:49:08.230Z","2 semanas atrás","4"
"2025-05-01T21:02:51.918Z","2 semanas atrás","4"
"2025-05-01T19:41:46.367Z","2 semanas atrás","5"
"2025-04-28T00:13:17.740Z","2 semanas atrás","5"
"2025-04-23T01:51:21.504Z","3 semanas atrás","5"
"2025-04-21T21:21:42.640Z","3 semanas atrás","5"
"2025-04-21T21:21:42.640Z","3 semanas atrás","5"
"2025-04-20T19:45:45.916Z","3 semanas atrás","5"
"2025-04-20T13:35:58.087Z","3 semanas atrás","5"
"2025-04-20T11:29:02.155Z","3 semanas atrás","5"
"2025-04-20T02:34:55.866Z","3 semanas atrás","5"
"2025-04-19T19:32:14.407Z","4 semanas atrás","5"
"2025-04-18T23:12:04.906Z","4 semanas atrás","5"
"2025-04-16T15:26:35.653Z","Hace un mes","4"
"2025-04-15T14:48:43.307Z","Hace un mes","5"
"2025-04-13T19:06:37.747Z","Hace un mes","5"
"2025-04-10T00:03:58.198Z","Hace un mes","4"
"2025-04-08T21:10:22.365Z","Hace un mes","5"
"2025-04-08T17:39:42.191Z","Hace un mes","5"
"2025-04-07T20:52:00.460Z","Hace un mes","5"
"2025-04-07T20:19:42.382Z","Hace un mes","5"
"2025-04-07T14:30:11.902Z","Hace un mes","5"
"2025-04-06T21:01:44.171Z","Hace un mes","5"
"2025-04-06T18:39:26.647Z","Hace un mes","5"
"2025-04-06T18:03:38.567Z","Hace un mes","4"
"2025-04-04T03:08:29.717Z","Hace un mes","5"
"2025-04-03T00:33:08.434Z","Hace un mes","3"
"2025-04-02T14:48:29.040Z","Hace un mes","5"
"2025-04-01T12:02:29.889Z","Hace un mes","4"
"2025-03-31T13:23:32.533Z","Hace un mes","5"
"2025-03-30T19:04:57.639Z","Hace un mes","5"
"2025-03-30T00:40:32.403Z","Hace un mes","4"
"2025-03-27T18:59:22.726Z","Hace un mes","5"
"2025-03-26T15:16:32.097Z","Hace un mes","5"
"2025-03-26T11:02:50.838Z","Hace un mes","4"
"2025-03-25T19:56:38.421Z","Hace un mes","5"
"2025-03-23T23:01:12.105Z","Hace un mes","5"
"2025-03-21T19:49:00.684Z","Hace un mes","4"
"2025-03-21T14:45:23.343Z","Hace un mes","5"
"2025-03-21T03:56:11.682Z","Hace un mes","5"
"2025-03-19T22:01:27.114Z","Hace un mes","5"
"2025-03-19T21:17:56.646Z","Hace un mes","5"
"2025-03-19T18:46:47.796Z","Hace un mes","5"
"2025-03-19T10:10:16.185Z","Hace un mes","5"
"2025-03-17T22:45:06.673Z","Hace un mes","5"
"2025-03-16T10:17:54.494Z","Hace 2 meses","5"
"2025-03-16T01:49:43.444Z","Hace 2 meses","4"
"2025-03-13T02:12:20.469Z","Hace 2 meses","4"
"2025-03-10T12:15:41.681Z","Hace 2 meses","5"
"2025-03-08T22:56:55.186Z","Hace 2 meses","5"
"2025-03-08T13:20:50.286Z","Hace 2 meses","5"
"2025-03-07T17:18:09.840Z","Hace 2 meses","5"
"2025-03-06T19:55:13.682Z","Hace 2 meses","5"
"2025-03-06T18:18:51.899Z","Hace 2 meses","5"
"2025-03-04T18:36:47.695Z","Hace 2 meses","4"
"2025-03-04T15:12:12.352Z","Hace 2 meses","5"
"2025-03-04T11:44:34.773Z","Hace 2 meses","5"
"2025-03-02T13:27:37.955Z","Hace 2 meses","1"
"2025-03-02T04:49:05.071Z","Hace 2 meses","4"
"2025-03-01T23:42:28.772Z","Hace 2 meses","5"
"2025-03-01T18:59:15.446Z","Hace 2 meses","2"
"2025-02-26T15:53:44.972Z","Hace 2 meses","4"
"2025-02-25T22:42:02.129Z","Hace 2 meses","5"
"2025-02-23T19:55:44.395Z","Hace 2 meses","5"
"2025-02-23T17:33:29.748Z","Hace 2 meses","4"
"2025-02-23T04:21:59.341Z","Hace 2 meses","5"
"2025-02-23T01:26:16.257Z","Hace 2 meses","5"
"2025-02-22T18:02:05.655Z","Hace 2 meses","5"
"2025-02-21T19:12:12.654Z","Hace 2 meses","5"
"2025-02-19T22:55:11.427Z","Hace 2 meses","4"
"2025-02-19T13:47:34.286Z","Hace 2 meses","5"
"2025-02-12T23:58:59.735Z","Hace 3 meses","5"
"2025-02-11T12:58:25.327Z","Hace 3 meses","4"
"2025-02-09T21:06:32.031Z","Hace 3 meses","5"
"2025-02-09T17:43:04.299Z","Hace 3 meses","5"
"2025-02-09T12:29:39.502Z","Hace 3 meses","3"
"2025-02-09T02:16:54.849Z","Hace 3 meses","5"
"2025-02-08T04:22:31.564Z","Hace 3 meses","4"
"2025-02-06T00:48:52.575Z","Hace 3 meses","4"
"2025-02-04T16:24:58.943Z","Hace 3 meses","5"
"2025-02-04T01:00:16.105Z","Hace 3 meses","5"
"2025-02-02T00:35:00.773Z","Hace 3 meses","4"
"2025-01-28T15:39:12.092Z","Hace 3 meses","5"
"2025-01-26T21:19:53.419Z","Hace 3 meses","5"
"2025-01-26T19:33:16.175Z","Hace 3 meses","5"
"2025-01-23T18:11:57.490Z","Hace 3 meses","5"
"2025-05-17T00:00:00.000000Z","registro click"
"2025-05-21T00:00:00.000000Z","registro click"
"2025-05-21T00:00:00.000000Z","registro click"
