"publishedAtDate","publishAt","stars"
"2025-05-15T17:54:39.499Z","Hace 2 días","4"
"2025-05-04T21:10:36.738Z","una semana atrás","5"
"2025-05-02T18:56:40.374Z","2 semanas atrás","5"
"2025-04-24T19:19:13.337Z","3 semanas atrás","5"
"2025-04-24T15:20:31.788Z","3 semanas atrás","5"
"2025-04-22T10:56:04.844Z","3 semanas atrás","5"
"2025-04-21T19:15:33.102Z","3 semanas atrás","2"
"2025-04-15T20:02:57.403Z","Hace un mes","5"
"2025-04-15T19:12:08.336Z","Hace un mes","5"
"2025-04-14T19:05:37.100Z","Hace un mes","5"
"2025-03-09T21:50:39.533Z","Hace 2 meses","5"
"2025-02-27T01:43:35.792Z","Hace 2 meses","4"
"2025-02-07T18:11:54.300Z","Hace 3 meses","5"
"2025-01-21T18:46:59.042Z","Hace 3 meses","5"
"2024-12-30T23:04:17.924Z","Hace 4 meses","5"
"2024-12-17T20:20:57.732Z","Hace 5 meses","4"
"2024-12-08T12:34:25.929Z","Hace 5 meses","4"
"2024-12-01T17:18:36.042Z","Hace 5 meses","5"
"2024-11-23T18:41:18.343Z","Hace 5 meses","5"
"2024-11-02T18:18:13.732Z","Hace 6 meses","4"
"2024-11-02T02:44:57.872Z","Hace 6 meses","4"
"2024-10-29T14:17:47.593Z","Hace 6 meses","5"
"2024-10-23T16:18:32.595Z","Hace 6 meses","5"
"2024-10-20T19:19:19.174Z","Hace 6 meses","5"
"2024-10-13T23:16:16.160Z","Hace 7 meses","5"
"2024-10-13T20:37:17.432Z","Hace 7 meses","5"
"2024-10-12T14:11:53.895Z","Hace 7 meses","5"
"2024-10-06T15:04:50.206Z","Hace 7 meses","2"
"2024-09-30T02:34:10.415Z","Hace 7 meses","5"
"2024-09-29T18:40:21.116Z","Hace 7 meses","5"
"2024-09-28T00:14:15.753Z","Hace 7 meses","5"
"2024-08-21T17:05:55.463Z","Hace 8 meses","5"
"2024-08-06T02:11:15.114Z","Hace 9 meses","5"
"2024-07-25T12:36:29.096Z","Hace 9 meses","5"
"2024-07-04T15:38:47.584Z","Hace 10 meses","1"
"2024-06-20T21:53:53.727Z","Hace 10 meses","5"
"2024-06-19T00:48:44.418Z","Hace 10 meses","5"
"2024-06-03T01:21:19.801Z","Hace 11 meses","2"
"2024-05-18T23:16:34.816Z","Hace 11 meses","5"
"2024-05-12T13:15:25.709Z","Hace un año","5"
"2024-05-11T03:33:43.877Z","Hace un año","4"
"2024-05-06T18:08:19.324Z","Hace un año","5"
"2024-04-29T23:49:25.664Z","Hace un año","4"
"2024-04-28T13:40:35.079Z","Hace un año","5"
"2024-03-30T21:07:16.706Z","Hace un año","5"
"2024-03-30T16:24:58.183Z","Hace un año","5"
"2024-03-26T13:55:23.959Z","Hace un año","5"
"2024-03-13T02:05:00.265Z","Hace un año","5"
"2024-02-13T16:39:52.847Z","Hace un año","5"
"2024-02-10T23:40:22.072Z","Hace un año","5"
"2024-02-08T22:07:50.646Z","Hace un año","5"
"2024-02-03T18:56:34.239Z","Hace un año","2"
"2024-01-18T14:33:12.262Z","Hace un año","5"
"2024-01-12T19:10:33.856Z","Hace un año","3"
"2024-01-01T18:36:13.100Z","Hace un año","5"
"2023-12-22T02:14:29.087Z","Hace un año","5"
"2023-12-18T01:08:05.051Z","Hace un año","3"
"2023-12-12T22:52:04.412Z","Hace un año","5"
"2023-12-08T14:00:21.990Z","Hace un año","4"
"2023-11-30T03:57:55.617Z","Hace un año","3"
"2023-11-27T13:41:15.931Z","Hace un año","4"
"2023-11-17T11:08:42.894Z","Hace un año","2"
"2023-11-13T12:43:43.275Z","Hace un año","5"
"2023-11-11T18:36:54.953Z","Hace un año","4"
"2023-11-09T11:18:58.068Z","Hace un año","4"
"2023-11-06T20:06:57.677Z","Hace un año","5"
"2023-11-02T19:50:12.180Z","Hace un año","4"
"2023-10-30T15:48:53.258Z","Hace un año","5"
"2023-10-23T13:35:08.499Z","Hace un año","5"
"2023-10-22T14:52:28.027Z","Hace un año","5"
"2023-10-21T23:25:06.940Z","Hace un año","5"
"2023-10-21T21:02:59.139Z","Hace un año","5"
"2023-10-07T18:33:29.516Z","Hace un año","5"
"2023-10-06T14:40:03.096Z","Hace un año","5"
"2023-09-29T19:25:26.299Z","Hace un año","2"
"2023-09-27T19:55:56.819Z","Hace un año","4"
"2023-09-24T15:07:11.496Z","Hace un año","5"
"2023-09-24T05:22:42.532Z","Hace un año","5"
"2023-09-13T19:19:39.381Z","Hace un año","5"
"2023-08-31T21:24:19.168Z","Hace un año","5"
"2023-08-30T18:16:46.331Z","Hace un año","5"
"2023-08-21T00:03:45.406Z","Hace un año","5"
"2023-08-10T16:44:16.426Z","Hace un año","5"
"2023-08-09T03:36:37.317Z","Hace un año","5"
"2023-08-07T22:31:41.059Z","Hace un año","5"
"2023-08-06T22:24:41.569Z","Hace un año","5"
"2023-07-28T01:41:39.568Z","Hace un año","5"
"2023-07-23T21:31:45.267Z","Hace un año","5"
"2023-07-22T22:09:39.719Z","Hace un año","5"
"2023-07-22T15:39:44.514Z","Hace un año","5"
"2023-07-16T23:14:47.535Z","Hace un año","5"
"2023-07-07T18:16:16.903Z","Hace un año","5"
"2023-07-03T21:17:53.485Z","Hace un año","5"
"2023-07-01T02:44:57.581Z","Hace un año","5"
"2023-06-26T19:08:40.625Z","Hace un año","5"
"2023-06-22T16:08:57.513Z","Hace un año","5"
"2023-06-19T16:48:42.019Z","Hace un año","5"
"2023-06-04T19:24:20.845Z","Hace un año","4"
"2023-06-04T16:21:18.111Z","Hace un año","5"
"2023-06-02T22:56:56.170Z","Hace un año","5"
