"publishedAtDate","publishAt","stars"
"2025-05-17T18:32:23.271Z","Hace 1 día","5"
"2025-05-16T22:15:37.902Z","Hace 2 días","5"
"2025-05-16T16:56:38.899Z","Hace 2 días","5"
"2025-05-12T04:07:21.135Z","una semana atrás","5"
"2025-05-11T13:00:55.942Z","una semana atrás","5"
"2025-05-11T05:07:08.204Z","una semana atrás","5"
"2025-05-09T21:44:43.800Z","una semana atrás","5"
"2025-05-09T15:39:45.754Z","una semana atrás","5"
"2025-04-28T00:58:06.591Z","3 semanas atrás","5"
"2025-04-19T22:05:26.772Z","4 semanas atrás","5"
"2025-04-14T19:40:29.252Z","Hace un mes","5"
"2025-04-13T18:04:34.922Z","Hace un mes","5"
"2025-04-11T00:18:37.602Z","Hace un mes","5"
"2025-04-07T15:09:53.221Z","Hace un mes","5"
"2025-04-04T16:54:49.907Z","Hace un mes","5"
"2025-04-01T10:15:30.869Z","Hace un mes","4"
"2025-03-29T22:47:52.569Z","Hace un mes","5"
"2025-03-28T22:45:37.295Z","Hace un mes","5"
"2025-03-23T23:23:03.753Z","Hace un mes","5"
"2025-03-20T18:32:47.293Z","Hace un mes","5"
"2025-03-09T03:20:39.972Z","Hace 2 meses","5"
"2025-02-17T22:46:39.982Z","Hace 3 meses","5"
"2025-02-16T20:47:56.634Z","Hace 3 meses","5"
"2025-02-16T19:57:47.992Z","Hace 3 meses","5"
"2025-02-16T18:13:17.520Z","Hace 3 meses","4"
"2025-02-15T14:48:01.367Z","Hace 3 meses","5"
"2025-02-09T22:59:42.963Z","Hace 3 meses","5"
"2025-02-03T02:43:05.486Z","Hace 3 meses","5"
"2025-01-20T00:28:51.551Z","Hace 3 meses","5"
"2025-01-19T18:15:56.378Z","Hace 3 meses","2"
"2025-01-07T21:55:20.234Z","Hace 4 meses","5"
"2025-01-06T16:44:36.273Z","Hace 4 meses","5"
"2025-01-06T01:45:19.722Z","Hace 4 meses","5"
"2025-01-04T18:40:45.981Z","Hace 4 meses","5"
"2024-12-29T01:07:08.935Z","Hace 4 meses","5"
"2024-11-10T06:06:50.405Z","Hace 6 meses","5"
"2024-11-07T18:21:50.803Z","Hace 6 meses","5"
"2024-10-30T09:28:02.371Z","Hace 6 meses","5"
"2024-10-20T21:52:25.947Z","Hace 6 meses","4"
"2024-10-19T01:32:05.042Z","Hace 7 meses","5"
"2024-10-12T05:03:42.384Z","Hace 7 meses","5"
"2024-10-10T21:20:20.664Z","Hace 7 meses","5"
"2024-10-10T11:07:15.118Z","Hace 7 meses","5"
"2024-10-07T12:00:23.323Z","Hace 7 meses","5"
"2024-10-04T02:02:50.661Z","Hace 7 meses","5"
"2024-09-30T09:23:48.077Z","Hace 7 meses","5"
"2024-09-30T07:05:45.416Z","Hace 7 meses","5"
"2024-09-15T17:30:56.091Z","Hace 8 meses","5"
"2024-09-13T17:17:11.679Z","Hace 8 meses","1"
"2024-09-13T15:39:14.066Z","Hace 8 meses","5"
"2024-09-01T04:18:21.658Z","Hace 8 meses","5"
"2024-08-31T14:29:25.396Z","Hace 8 meses","5"
"2024-08-19T17:35:16.650Z","Hace 8 meses","5"
"2024-08-19T01:42:09.938Z","Hace 9 meses","1"
"2024-07-30T01:14:43.721Z","Hace 9 meses","5"
"2024-07-23T17:31:05.796Z","Hace 9 meses","5"
"2024-07-16T23:31:54.980Z","Hace 10 meses","5"
"2024-07-01T23:18:40.096Z","Hace 10 meses","5"
"2024-07-01T21:08:18.772Z","Hace 10 meses","5"
"2024-06-22T17:07:45.364Z","Hace 10 meses","5"
"2024-05-19T14:19:21.580Z","Hace 11 meses","5"
"2024-04-28T01:20:22.452Z","Hace un año","5"
"2024-04-15T15:54:06.287Z","Hace un año","5"
"2024-04-14T11:18:44.162Z","Hace un año","5"
"2024-04-09T19:01:29.500Z","Hace un año","5"
"2024-03-28T11:38:09.661Z","Hace un año","1"
"2024-03-26T20:35:06.091Z","Hace un año","2"
"2024-03-25T11:37:20.206Z","Hace un año","1"
"2024-03-10T04:26:24.635Z","Hace un año","5"
"2024-02-24T22:52:14.795Z","Hace un año","5"
"2024-02-08T00:29:57.445Z","Hace un año","5"
"2024-01-30T12:13:58.212Z","Hace un año","5"
"2024-01-12T23:31:51.966Z","Hace un año","5"
"2023-12-01T01:45:43.193Z","Hace un año","5"
"2023-10-28T20:39:01.442Z","Hace un año","5"
"2023-10-25T10:05:44.868Z","Hace un año","5"
"2023-10-05T21:34:25.363Z","Hace un año","5"
"2023-09-20T22:52:57.999Z","Hace un año","5"
"2023-09-10T23:13:27.679Z","Hace un año","5"
"2023-09-06T02:50:50.788Z","Hace un año","5"
"2023-09-04T19:48:23.677Z","Hace un año","5"
"2023-08-30T15:36:18.205Z","Hace un año","5"
"2023-08-29T01:08:31.987Z","Hace un año","5"
"2023-08-20T18:40:27.953Z","Hace un año","5"
"2023-08-18T22:58:39.412Z","Hace un año","5"
