"publishedAtDate","publishAt","stars"
"2025-05-17T02:59:08.918Z","Hace 2 días","5"
"2025-05-09T21:56:20.333Z","una semana atrás","5"
"2025-05-03T22:00:34.387Z","2 semanas atrás","5"
"2025-04-30T13:41:16.387Z","2 semanas atrás","5"
"2025-04-15T18:44:52.468Z","Hace un mes","5"
"2025-04-13T20:16:20.598Z","Hace un mes","4"
"2025-04-11T22:51:28.202Z","Hace un mes","1"
"2025-04-11T14:06:39.803Z","Hace un mes","5"
"2025-04-08T14:58:32.398Z","Hace un mes","5"
"2025-03-22T16:53:48.003Z","Hace un mes","5"
"2025-03-12T21:02:53.409Z","Hace 2 meses","5"
"2025-02-21T22:50:50.150Z","Hace 2 meses","5"
"2025-02-03T12:10:20.158Z","Hace 3 meses","4"
"2025-01-04T05:17:58.241Z","Hace 4 meses","5"
"2024-12-13T15:03:28.662Z","Hace 5 meses","3"
"2024-12-06T16:07:58.391Z","Hace 5 meses","5"
"2024-11-27T17:03:22.657Z","Hace 5 meses","2"
"2024-11-21T01:11:59.547Z","Hace 5 meses","4"
"2024-11-10T17:07:09.756Z","Hace 6 meses","5"
"2024-10-24T22:02:36.660Z","Hace 6 meses","5"
"2024-10-20T02:45:32.303Z","Hace 6 meses","5"
"2024-10-13T15:56:57.912Z","Hace 7 meses","5"
"2024-09-17T14:01:13.592Z","Hace 8 meses","5"
"2024-09-15T22:32:32.150Z","Hace 8 meses","4"
"2024-08-01T14:07:29.104Z","Hace 9 meses","3"
"2024-07-21T23:45:54.121Z","Hace 9 meses","4"
"2024-07-20T18:42:45.526Z","Hace 9 meses","4"
"2024-07-02T00:06:48.791Z","Hace 10 meses","4"
"2024-06-17T17:31:27.441Z","Hace 11 meses","5"
"2024-06-13T14:31:47.961Z","Hace 11 meses","1"
"2024-06-07T03:18:18.768Z","Hace 11 meses","4"
"2024-06-05T23:21:47.598Z","Hace 11 meses","5"
"2024-06-03T00:29:16.301Z","Hace 11 meses","5"
"2024-05-28T02:06:32.690Z","Hace 11 meses","5"
"2024-05-25T16:29:32.448Z","Hace 11 meses","5"
"2024-05-19T03:21:53.409Z","Hace un año","5"
"2024-05-14T03:02:20.622Z","Hace un año","5"
"2024-05-12T02:40:12.133Z","Hace un año","4"
"2024-04-27T22:44:18.168Z","Hace un año","5"
"2024-04-03T15:51:45.297Z","Hace un año","4"
"2024-03-31T00:08:52.333Z","Hace un año","5"
"2024-03-13T17:27:10.646Z","Hace un año","4"
"2024-03-12T10:08:47.748Z","Hace un año","4"
"2024-02-22T23:01:55.636Z","Hace un año","4"
"2024-02-21T23:21:27.803Z","Hace un año","5"
"2024-02-19T04:06:15.198Z","Hace un año","5"
"2024-02-19T01:07:24.222Z","Hace un año","5"
"2024-02-16T05:35:13.716Z","Hace un año","5"
"2024-02-06T09:42:56.991Z","Hace un año","5"
"2024-01-31T23:37:55.501Z","Hace un año","4"
"2024-01-23T11:45:49.334Z","Hace un año","1"
