"publishedAtDate","publishAt","stars"
"2025-04-19T02:13:42.859Z","Hace un mes","5"
"2025-03-27T01:51:40.136Z","Hace un mes","5"
"2025-03-19T00:31:10.039Z","Hace 2 meses","5"
"2025-03-13T17:34:54.425Z","Hace 2 meses","5"
"2025-01-25T12:05:12.245Z","Hace 3 meses","5"
"2024-12-15T17:04:20.043Z","Hace 5 meses","5"
"2024-12-15T02:22:25.420Z","Hace 5 meses","5"
"2024-12-06T03:42:35.005Z","Hace 5 meses","5"
"2024-11-30T23:19:25.705Z","Hace 5 meses","5"
"2024-11-17T21:54:41.330Z","Hace 6 meses","5"
"2024-11-16T11:39:29.882Z","Hace 6 meses","5"
"2024-11-15T17:53:45.522Z","Hace 6 meses","4"
"2024-11-07T04:32:46.410Z","Hace 6 meses","5"
"2024-10-22T14:43:40.152Z","Hace 6 meses","5"
"2024-10-21T12:56:07.341Z","Hace 6 meses","5"
"2024-10-20T23:42:11.093Z","Hace 6 meses","5"
"2024-10-03T14:11:06.799Z","Hace 7 meses","5"
"2024-09-12T05:03:42.913Z","Hace 8 meses","5"
"2024-09-08T23:16:32.861Z","Hace 8 meses","5"
"2024-09-02T04:33:50.189Z","Hace 8 meses","5"
"2024-08-28T20:52:00.414Z","Hace 8 meses","5"
"2024-08-26T12:50:59.754Z","Hace 8 meses","5"
"2024-08-05T20:23:20.247Z","Hace 9 meses","5"
"2024-08-03T16:44:54.066Z","Hace 9 meses","5"
"2024-07-15T12:58:40.113Z","Hace 10 meses","5"
"2024-07-06T15:05:52.527Z","Hace 10 meses","5"
"2024-07-01T15:27:12.251Z","Hace 10 meses","5"
"2024-06-23T13:49:25.733Z","Hace 10 meses","5"
"2024-06-05T08:39:13.628Z","Hace 11 meses","3"
"2024-06-02T13:47:25.008Z","Hace 11 meses","5"
"2024-05-15T22:15:54.059Z","Hace un año","5"
"2024-05-12T01:59:56.584Z","Hace un año","5"
"2024-05-05T05:40:51.325Z","Hace un año","5"
"2024-04-30T18:49:49.190Z","Hace un año","4"
"2024-04-27T15:53:56.231Z","Hace un año","3"
"2024-04-23T16:25:06.334Z","Hace un año","5"
"2024-04-23T06:38:53.166Z","Hace un año","5"
"2024-04-17T00:51:32.385Z","Hace un año","5"
"2024-04-14T04:39:24.743Z","Hace un año","2"
"2024-03-23T01:13:50.433Z","Hace un año","5"
"2024-03-22T13:03:33.796Z","Hace un año","5"
"2024-03-13T06:23:01.931Z","Hace un año","5"
"2024-03-11T01:43:18.852Z","Hace un año","5"
"2024-03-10T12:41:18.318Z","Hace un año","4"
"2024-03-03T04:09:18.994Z","Hace un año","5"
"2024-02-19T00:12:14.686Z","Hace un año","5"
"2024-01-22T22:01:42.733Z","Hace un año","5"
"2024-01-09T19:20:01.795Z","Hace un año","5"
"2023-12-13T13:37:46.312Z","Hace un año","5"
"2023-12-07T12:47:00.115Z","Hace un año","5"
"2023-11-28T20:10:46.523Z","Hace un año","5"
"2023-11-27T15:38:44.189Z","Hace un año","5"
"2023-11-17T17:38:55.547Z","Hace un año","4"
"2023-11-16T03:00:56.247Z","Hace un año","5"
"2023-11-04T23:17:58.563Z","Hace un año","5"
"2023-10-30T00:11:09.842Z","Hace un año","5"
"2023-10-26T20:01:15.192Z","Hace un año","5"
"2023-09-28T23:53:58.761Z","Hace un año","5"
"2023-09-26T01:20:30.825Z","Hace un año","5"
"2023-09-15T22:47:17.956Z","Hace un año","5"
"2023-08-25T18:27:40.313Z","Hace un año","5"
"2023-08-14T04:18:05.884Z","Hace un año","5"
"2023-08-14T00:55:37.579Z","Hace un año","5"
"2023-08-13T03:34:51.867Z","Hace un año","4"
"2023-08-11T10:42:11.925Z","Hace un año","5"
"2023-08-09T17:00:39.205Z","Hace un año","5"
"2023-08-07T23:12:24.282Z","Hace un año","5"
"2023-08-03T19:12:35.551Z","Hace un año","4"
"2023-07-21T01:44:32.561Z","Hace un año","5"
"2023-07-11T18:22:53.979Z","Hace un año","5"
"2023-07-10T20:42:30.197Z","Hace un año","3"
"2023-07-03T17:03:12.846Z","Hace un año","5"
"2023-06-18T03:07:52.891Z","Hace un año","5"
"2023-06-13T23:36:49.420Z","Hace un año","5"
"2023-06-11T21:47:40.964Z","Hace un año","5"
"2023-06-06T20:51:09.586Z","Hace un año","5"
"2023-06-05T04:25:25.559Z","Hace un año","5"
"2023-06-01T23:28:47.034Z","Hace un año","5"
"2023-04-19T00:40:56.781Z","Hace 2 años","4"
"2023-04-16T19:10:09.567Z","Hace 2 años","5"
"2023-04-11T01:36:57.036Z","Hace 2 años","5"
"2023-03-12T02:57:18.320Z","Hace 2 años","5"
"2023-03-12T01:38:17.414Z","Hace 2 años","5"
