"publishedAtDate","publishAt","stars"
"2025-05-11T20:46:47.739Z","Hace 6 días","1"
"2025-05-11T19:39:05.239Z","Hace 6 días","5"
"2025-05-11T14:47:09.333Z","Hace 6 días","5"
"2025-05-03T20:58:59.517Z","2 semanas atrás","5"
"2025-04-17T21:36:29.146Z","Hace un mes","4"
"2025-04-15T13:19:35.507Z","Hace un mes","4"
"2025-04-14T02:47:22.209Z","Hace un mes","5"
"2025-04-13T22:06:42.244Z","Hace un mes","5"
"2025-04-05T20:57:37.315Z","Hace un mes","5"
"2025-04-03T21:05:16.115Z","Hace un mes","4"
"2025-04-02T14:55:13.244Z","Hace un mes","5"
"2025-03-24T00:07:01.286Z","Hace un mes","5"
"2025-03-15T21:22:39.127Z","Hace 2 meses","5"
"2025-03-15T20:43:08.551Z","Hace 2 meses","5"
"2025-03-09T23:35:36.597Z","Hace 2 meses","5"
"2025-03-09T20:06:46.150Z","Hace 2 meses","5"
"2025-02-26T10:14:10.525Z","Hace 2 meses","5"
"2025-02-19T22:07:04.578Z","Hace 2 meses","5"
"2025-02-16T14:55:45.889Z","Hace 3 meses","5"
"2025-02-13T22:36:47.729Z","Hace 3 meses","5"
"2025-02-12T18:19:18.418Z","Hace 3 meses","5"
"2025-02-11T19:51:21.434Z","Hace 3 meses","4"
"2025-02-03T01:32:04.560Z","Hace 3 meses","4"
"2025-02-02T19:48:42.110Z","Hace 3 meses","4"
"2025-02-01T18:55:16.712Z","Hace 3 meses","5"
"2025-01-26T20:46:04.087Z","Hace 3 meses","5"
"2025-01-26T15:20:12.947Z","Hace 3 meses","5"
"2025-01-17T13:16:58.613Z","Hace 4 meses","5"
"2025-01-05T23:22:03.704Z","Hace 4 meses","5"
"2024-12-31T12:53:39.416Z","Hace 4 meses","5"
"2024-12-28T23:54:57.124Z","Hace 4 meses","3"
"2024-12-15T22:47:32.426Z","Hace 5 meses","5"
"2024-12-14T19:37:56.998Z","Hace 5 meses","5"
"2024-12-14T00:47:32.416Z","Hace 5 meses","5"
"2024-12-13T01:05:25.916Z","Hace 5 meses","5"
"2024-12-06T11:50:45.946Z","Hace 5 meses","5"
"2024-11-20T13:00:49.223Z","Hace 5 meses","5"
"2024-11-17T16:18:51.223Z","Hace 6 meses","5"
"2024-11-03T22:25:36.677Z","Hace 6 meses","5"
"2024-10-25T23:05:42.412Z","Hace 6 meses","5"
"2024-10-20T17:58:48.737Z","Hace 6 meses","4"
"2024-10-19T20:24:45.253Z","Hace 6 meses","5"
"2024-10-15T19:25:53.832Z","Hace 7 meses","5"
"2024-10-10T18:04:24.147Z","Hace 7 meses","5"
"2024-10-08T15:27:04.214Z","Hace 7 meses","2"
"2024-09-30T22:14:29.532Z","Hace 7 meses","5"
"2024-09-22T00:53:06.903Z","Hace 7 meses","5"
"2024-09-21T15:10:42.914Z","Hace 7 meses","5"
"2024-09-14T03:14:33.043Z","Hace 8 meses","4"
"2024-09-08T23:37:15.364Z","Hace 8 meses","1"
"2024-08-25T22:38:14.338Z","Hace 8 meses","4"
"2024-08-25T03:37:58.322Z","Hace 8 meses","5"
"2024-08-04T20:20:12.237Z","Hace 9 meses","5"
"2024-07-24T00:59:01.805Z","Hace 9 meses","5"
"2024-07-22T19:53:10.776Z","Hace 9 meses","5"
